Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
173,Faraktár utca,1472,7138,3642,2.5,1558,1.1,5200,3.5,16342,11.1,18418,12.5,00:03:11
193,Gönczy Pál Általános Iskola,122,692,288,2.4,138,1.1,426,3.5,819,6.7,969,7.9,00:00:53
259,István út,409,1994,1355,3.3,49,0.1,1404,3.4,1145,2.8,2471,6.0,00:01:12
582,Vadliba utca,351,1457,106,0.3,1089,3.1,1195,3.4,3680,10.5,2691,7.7,00:03:05
392,Mechwart András Szki.,997,4741,848,0.9,2533,2.5,3381,3.4,7113,7.1,5395,5.4,00:02:20
144,Dóczy József utca,693,3041,1331,1.9,991,1.4,2322,3.4,7422,10.7,7760,11.2,00:02:27
681,Dózsa György utca,180,910,306,1.7,294,1.6,600,3.3,2510,13.9,2516,14.0,00:03:07
042,Balásházy János Szki.,152,588,473,3.1,33,0.2,506,3.3,368,2.4,808,5.3,00:01:44
487,Rigó utca,479,2719,1267,2.6,327,0.7,1594,3.3,4563,9.5,5531,11.5,00:01:50
384,Malompark,447,1374,1056,2.4,425,1.0,1481,3.3,4462,10.0,5089,11.4,00:01:23
458,Pallag,323,1201,368,1.1,699,2.2,1067,3.3,712,4.2,368,2.4,00:00:54
139,Doberdó utca,831,3724,2038,2.5,706,0.8,2744,3.3,6986,13.4,8332,10.0,00:01:34
646,Doberdó utca,294,1070,0,0,946,3.2,946,3.2,950,3.2,0,,00:04:33
297,Klinikai Központ Kenézy Campus,718,2950,1812,2.5,497,0.7,2309,3.2,7770,10.8,9119,12.7,00:02:06
827,Deufol Hungary Kft.,137,500,137,1,303,2.2,440,3.2,1777,13.0,1611,11.8,00:02:10
188,Füredi út,1281,6208,2089,1.6,2010,1.6,4099,3.2,11599,9.1,11645,9.1,00:02:58
563,Tiborc utca,141,1117,433,3.1,15,0.1,448,3.2,215,1.5,647,4.6,00:01:27
572,Tőzsér utca,409,1994,1235,3.0,62,0.2,1297,3.2,2471,6.0,3656,8.9,00:01:19
228,Határ úti Ipari Park,151,660,464,3.1,14,0.1,478,3.2,836,5.5,1286,8.5,00:01:02
583,Vadliba utca,355,1465,1093,3.1,28,0.1,1121,3.2,2888,8.1,3962,11.2,00:01:36
562,Tiborc utca,148,1117,19,0.1,448,3.0,467,3.2,689,4.7,250,1.7,00:01:46
456,Pál utca,122,692,354,2.9,30,0.2,384,3.1,495,4.1,819,6.7,00:01:03
262,Jánosi utca,319,1491,181,0.6,805,2.5,986,3.1,2250,7.1,1610,5.0,00:02:28
766,Árpád Vezér Általános Iskola,1115,5438,2395,2.1,1051,0.9,3446,3.1,9513,8.5,10861,9.7,00:01:43
407,Műanyaggyár,307,1300,426,1.4,521,1.7,947,3.1,1366,5.1,1271,4.8,00:01:21
473,Pósa utca,873,3367,294,0.3,2394,2.7,2688,3.1,9947,11.4,7742,8.9,00:01:29
187,Füredi út,1322,6422,2685,2.0,1383,1.0,4068,3.1,11897,9.0,13204,10.0,00:02:35
069,Bercsényi utca,933,4705,1173,1.3,1685,1.8,2858,3.1,12774,13.7,12269,13.2,00:02:22
013,DE Böszörményi úti Campus,1143,5563,1785,1.6,1696,1.5,3481,3.0,10365,9.1,10452,9.1,00:02:35
