Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
562,Tiborc utca,148,1117,19,0.128378378378378,448,3.02702702702703,467,3.1554054054054,689,4.6554054054054,250,1.68918918918919,0.00122685185185185
456,Pál utca,122,692,354,2.9016393442623,30,0.245901639344262,384,3.14754098360656,495,4.05737704918033,819,6.71311475409836,0.000729166666666667
262,Jánosi utca,319,1491,181,0.567398119122257,805,2.52351097178683,986,3.09090909090909,2250,7.05329153605016,1610,5.04702194357367,0.00171296296296296
766,Árpád Vezér Általános Iskola,1115,5438,2395,2.14798206278027,1051,0.942600896860986,3446,3.09058295964126,9513,8.53183856502242,10861,9.74080717488789,0.00119212962962963
407,Műanyaggyár,307,1300,426,1.38762214983713,521,1.6970684039088,947,3.08469055374593,1366,5.05925925925926,1271,4.7781954887218,0.0009375
473,Pósa utca,873,3367,294,0.336769759450172,2394,2.74226804123711,2688,3.07903780068729,9947,11.3940435280641,7742,8.91935483870968,0.00103009259259259
187,Füredi út,1322,6422,2685,2.03101361573374,1383,1.04614220877458,4068,3.07715582450832,11897,8.99924357034796,13204,9.98789712556732,0.00179398148148148
069,Bercsényi utca,933,4705,1173,1.2572347266881,1685,1.80600214362272,2858,3.06323687031083,12774,13.6913183279743,12269,13.1500535905681,0.00164351851851852
013,DE Böszörményi úti Campus,1143,5563,1785,1.56167979002625,1696,1.4838145231846,3481,3.04549431321085,10365,9.06824146981627,10452,9.14435695538058,0.00179398148148148
286,Károli Gáspár tér,562,2270,767,1.36476868327402,941,1.67437722419929,1708,3.03914590747331,8021,14.2722419928826,7852,13.9715302491103,0.00101851851851852
296,Klinikai Központ Kenézy Campus,427,1640,140,0.327868852459016,1148,2.68852459016393,1288,3.01639344262295,6920,16.2060889929742,5900,13.8173302107728,0.000833333333333333
231,Házgyár utca,514,1870,91,0.17704280155642,1459,2.83852140077821,1550,3.01556420233463,2883,5.60894941634241,1458,2.83657587548638,0.0012962962962963
385,Malompark,576,1926,939,1.63020833333333,795,1.38020833333333,1734,3.01041666666667,5136,8.91666666666666,5286,9.17708333333334,0.00209490740740741
177,Felsőjózsai utca,196,1006,412,2.10204081632653,177,0.903061224489796,589,3.00510204081633,262,2.54368932038835,474,4.01694915254237,0.00068287037037037
532,Széna tér,852,3697,1426,1.67370892018779,1134,1.33098591549296,2560,3.00469483568075,1160,2.71662763466042,1444,3.30434782608696,0.000775462962962963
573,Tőzsér utca,531,2564,107,0.2015065913371,1480,2.78719397363465,1587,2.98870056497175,4772,8.98681732580038,3366,6.33898305084746,0.00197916666666667
249,Hun utca,884,3061,634,0.717194570135746,2007,2.27036199095023,2641,2.98755656108597,8403,9.50565610859729,7006,7.92533936651584,0.000625
843,Doberdó utca,590,2645,575,0.974576271186441,1172,1.9864406779661,1747,2.96101694915254,8722,14.7830508474576,8099,13.7271186440678,0.00152777777777778
535,Szent Anna utca ,362,1635,293,0.80939226519337,772,2.13259668508287,1065,2.94198895027624,6168,17.0386740331492,5689,15.7154696132597,0.00114583333333333
